Date	Game	Opponent	Player	MIN	FGM-FGA	3PM-3PA	FTM-FTA	OREB	DREB	AST	STL	BLK	TO	PF	PTS
2018-04-15	vs. Timberwolves	Timberwolves	Chris Paul	34	5-14	1-6	3-4	0	3	4	2	0	6	3	14
2018-04-18	vs. Timberwolves	Timberwolves	Chris Paul	30	10-18	3-5	4-4	0	3	8	3	1	1	2	27
2018-04-21	@ Timberwolves	Timberwolves	Chris Paul	31	7-11	1-3	2-2	0	3	6	0	0	1	6	17
2018-04-23	@ Timberwolves	Timberwolves	Chris Paul	34	9-17	3-5	4-4	1	5	6	5	0	1	1	25
2018-04-25	vs. Timberwolves	Timberwolves	Chris Paul	35	6-16	0-8	0-0	0	5	9	0	0	0	1	12
2018-04-29	vs. Jazz	Jazz	Chris Paul	32	7-14	3-6	0-0	1	3	6	4	0	7	3	17
2018-05-02	vs. Jazz	Jazz	Chris Paul	36	8-19	2-5	5-7	0	5	3	3	0	2	5	23
2018-05-04	@ Jazz	Jazz	Chris Paul	31	6-17	1-7	2-2	0	7	6	1	0	0	1	15
2018-05-06	@ Jazz	Jazz	Chris Paul	36	12-23	1-6	2-2	2	10	6	2	1	1	3	27
2018-05-08	vs. Jazz	Jazz	Chris Paul	38	13-22	8-10	7-8	0	7	10	1	0	0	1	41
2018-05-14	vs. Warriors	Warriors	Chris Paul	38	8-17	2-7	5-7	7	3	3	1	0	1	4	23
2018-05-16	vs. Warriors	Warriors	Chris Paul	34	6-14	1-5	3-3	4	6	6	3	0	3	5	16
2018-05-20	@ Warriors	Warriors	Chris Paul	33	5-16	2-8	1-2	9	4	4	1	2	2	4	13
2018-05-22	@ Warriors	Warriors	Chris Paul	42	10-20	5-9	2-4	2	4	4	1	0	3	4	27
2018-05-24	vs. Warriors	Warriors	Chris Paul	38	6-19	4-9	4-4	2	5	6	3	0	0	4	20
2018-04-15	vs. Timberwolves	Timberwolves	James Harden	41	15-26	7-12	7-9	2	2	8	2	0	3	2	44
2018-04-18	vs. Timberwolves	Timberwolves	James Harden	31	2-18	1-10	7-8	0	4	7	3	3	3	2	12
2018-04-21	@ Timberwolves	Timberwolves	James Harden	37	9-21	3-8	8-10	0	7	7	1	0	4	2	29
2018-04-23	@ Timberwolves	Timberwolves	James Harden	34	12-26	5-11	7-7	0	4	3	4	1	1	4	36
2018-04-25	vs. Timberwolves	Timberwolves	James Harden	38	8-21	4-11	4-4	1	4	12	2	2	3	2	24
2018-04-29	vs. Jazz	Jazz	James Harden	37	12-26	7-12	10-11	1	7	7	1	0	3	2	41
2018-05-02	vs. Jazz	Jazz	James Harden	37	9-22	2-10	12-13	2	4	11	2	0	2	5	32
2018-05-04	@ Jazz	Jazz	James Harden	31	8-17	2-8	7-7	1	3	12	2	1	1	1	25
2018-05-06	@ Jazz	Jazz	James Harden	37	8-22	1-7	7-8	0	4	3	4	0	8	3	24
2018-05-08	vs. Jazz	Jazz	James Harden	35	7-22	1-7	3-4	1	3	4	2	0	3	3	18
2018-05-14	vs. Warriors	Warriors	James Harden	36	14-24	5-9	8-10	1	3	7	1	0	4	4	41
2018-05-16	vs. Warriors	Warriors	James Harden	34	9-24	3-15	6-6	0	10	3	1	0	4	3	27
2018-05-20	@ Warriors	Warriors	James Harden	33	7-16	2-6	4-5	0	5	9	1	1	4	2	20
2018-05-22	@ Warriors	Warriors	James Harden	44	11-26	3-12	5-5	2	2	4	3	2	2	3	30
2018-05-24	vs. Warriors	Warriors	James Harden	39	5-21	0-11	9-9	0	3	4	2	0	6	2	19
2018-05-26	@ Warriors	Warriors	James Harden	41	10-24	4-12	8-9	2	5	9	3	0	9	4	32
2018-05-28	vs. Warriors	Warriors	James Harden	43	12-29	2-13	6-8	1	5	6	4	1	5	2	32
2018-04-15	vs. Timberwolves	Timberwolves	Clint Capela	35	10-15	0-0	4-4	5	7	1	1	3	0	3	24
